PK_UKBaseS,Technology,LAC,CellId,Easting,Northing,CitiLogik_Easting,CitiLogik_Northing
97,3G,301,63313,533249,181440,533244,181421
99,3G,301,63939,532832,181205,532844,181185
128,3G,301,64791,531282,181493,531297,181492
162,3G,301,63659,533129,181787,533114,181815
226,3G,301,64449,528843,179146,528861,179138
322,2G,895,3712,635530,166210,635729,165891
439,2G,710,21976,548011,184115,547656,184356
684,3G,7,64276,583544,165233,583419,165261
703,2G,903,35316,577020,112242,577341,112196
791,3G,302,62285,528828,179010,528817,179014
793,3G,301,63989,531655,181346,531667,181313
824,3G,301,63467,533323,181840,533366,181833
1077,2G,917,16310,529304,112308,528299,112871
1194,2G,917,16152,529304,112308,529565,113256
1540,3G,301,64865,533039,181336,533015,181347
2298,2G,927,5944,631335,142015,631606,142010
2722,2G,304,6588,523510,150806,523194,150749
3059,3G,301,64910,532306,181043,532325,181049
3063,3G,302,61868,529277,182213,529302,182224
3180,3G,302,62084,530097,182489,530097,182489
4585,3G,311,63812,539140,180100,539053,180078
5020,2G,709,60941,549205,175210,549473,175183
5206,2G,927,2636,598125,140943,595247,139366
5235,2G,895,4428,612072,165995,612255,166202
5243,2G,709,23357,551356,177956,551560,177781
5615,2G,895,10994,635310,165110,635502,165287
5810,3G,301,63862,529895,180332,529876,180338
5833,3G,301,64598,533909,180953,533912,180941
5924,2G,927,11835,633040,141290,636070,143420
5928,3G,301,63678,532971,181448,532964,181425
5986,3G,301,63874,533444,180185,533452,180075
6043,3G,183,64178,556661,175348,556676,175449
6336,2G,895,12141,587430,164550,587755,164331
6501,2G,927,16006,601023,144319,600715,144434
6613,3G,301,63460,533787,180616,533761,180624
6900,3G,302,60808,527467,182053,527443,182040
7080,3G,310,64235,525763,177350,525800,177244
7356,2G,903,10005,577552,108648,577343,108523
7375,2G,304,1969,526578,133498,527201,133711
7427,2G,903,16336,555070,105075,556146,104728
7729,3G,301,64180,532170,181240,532167,181231
7877,2G,885,59183,575799,158061,575660,158477
8196,3G,183,62534,540381,168613,540406,168588
8197,3G,301,64745,533532,181291,533506,181261
8340,3G,301,64374,533197,180987,533182,180972
8448,2G,885,10669,588897,150816,589894,150329
8535,3G,301,64524,531484,180931,531484,180915
8594,3G,301,65179,532891,181166,532913,181158
9199,3G,301,65242,533084,180860,533117,180857
9374,2G,895,896,633907,170004,633757,169970
