118, 61730; 61729; 61925; 61500; 61415; 61540; 61542; 61414; 61926; 61504;
136, 10449;
186, 15061; 44612; 10312; 9517; 16472; 10313; 9391; 8608; 24833; 9392; 25658; 23055; 5765; 25659; 26935; 40902; 7384; 25661; 26934; 1500; 17880; 44870; 44601; 44603; 4842; 22484; 44602; 7385; 17879; 23057; 1521; 23056; 8565; 3124; 4843; 6594; 1998; 4469; 15059; 23058;
234, 32749; 32748; 43990; 64853; 48793; 38060; 32747; 48411; 58512; 50503; 58511; 32906; 64854; 43951; 48791; 50501; 62953; 58513; 38023; 36783; 48792; 52922; 62951; 36778; 37864; 37866; 36777; 50502; 37865; 32904; 48413; 38013; 52921; 64852; 32905;
243, 32708; 32895; 41980; 37878; 31327; 30865; 31328; 32707; 48832; 32896; 62123; 64855; 64856; 28538; 65498; 29296; 30888; 65267; 64333; 30826; 41983; 58760; 31388; 65266; 65268; 38948; 29294; 61308; 62111; 52836; 56716; 28539; 56360; 30825; 57392; 32894; 46868; 64331; 52835; 65499; 28517; 52808; 56359; 30889; 65496; 46961; 56714; 48883; 31389; 65497; 28518; 58219; 30866; 61306; 38949; 46595; 58218; 31387; 32709; 65495; 46869; 31368; 63837; 30864; 45656; 31329; 57391; 36187; 52809; 56715; 57393; 38947; 61304; 37879; 48833; 63839; 52834; 62113; 63838; 37877; 28519; 62112; 58217; 46867; 56361; 62122; 28574; 52807; 31367; 48831; 29295; 30824; 48882; 65494; 64332; 28537; 57375;
262, 3526; 7659; 7300; 28382; 1338; 8196; 28202; 26494; 14820; 26495; 28384; 5199; 26496; 3525; 7657; 5198; 28386; 1330; 14819; 5200;
32928, 133934858; 133210910; 131526932; 133837066; 131557662; 133934878; 131523358; 133972244; 128788490; 134074654; 133339412; 130500884; 129650442; 131557642; 128248350; 131526942;
34784, 131130644; 131325204; 133358858; 133358878; 133358868; 133856532; 131303690; 130229012; 131130654; 130702100; 129543434; 129547530; 130251540; 129723146; 129529364; 129524244; 129529886; 129543946; 129723156; 129653022; 130251530; 130708244; 129530388; 129544468; 129546004; 129525258; 129523220; 129989898; 131327252; 129987338; 129960222; 129989908; 130009886; 129530900; 129720094; 130311966; 129653002; 134034698; 129820948; 129960202; 129522698; 129543966; 129532426; 130156308; 133973780; 133973770; 129548042; 130008862; 129524746; 130249482; 129548062; 129823006; 133856522; 134039838; 134039828; 134042378; 130487050; 130249492; 129748254; 129524766; 129822996; 134151946; 129530910; 134151956; 134151966; 133856010; 133856020; 133856030; 129543444; 130357022; 129988894; 133878538; 133878558; 130130196; 130487060; 129525268; 129547540; 130487070; 129528862; 134042398; 129769226; 129525780; 129653012; 129720074; 129769236; 129528350; 129529374; 129820938; 129822986; 129989918; 129525790; 130697492; 129529876; 129529866; 130261268; 130311434; 129525278; 130697502; 130710794; 129545994; 129544458; 129528330; 129545482; 129532436; 131303710; 130355978; 130824468; 130261278; 129688852; 129720084; 129522708; 130705182; 129987348; 130708254; 130249502; 129530378; 129748244; 129700106; 129700126; 129795358; 129987358; 131092756; 131130634; 129544478; 130156318; 130357012; 131092746; 130682142; 129530398; 129545502; 131327242; 131327262; 131092766; 130009876; 134034718; 131303700; 131110164; 129723166; 130311444; 134034708; 129553694; 130521886; 130154772; 129528852; 1193746; 129700116; 129988884; 129545492; 129548052; 130521866; 130521876; 130497822; 131089674; 130355988; 133858068; 133858078; 129543454; 133379348; 130705162; 129688842; 129524756; 129960212; 129546516; 134156042; 130682132; 129543956; 134042388; 133480734; 133480724; 1184786; 129529354; 130697482; 130154782; 131134238; 130355998; 130824478; 134156062; 134156052; 133973790; 129553684; 129769246; 129546014; 129748234; 131089684; 130311956; 131153182; 131325194; 131153172; 131325214; 129528842; 129547550; 130251550; 134009118; 134009098; 134009108; 133379338; 133379358; 129530890; 129688862; 130659102; 133337876; 133480714; 131302666; 131302676; 129524234; 129546526; 130705172; 134039818; 130497812; 133337886; 130009866; 130605332; 130311946; 130659082; 133337866; 129523230; 129522718; 129795348; 130357002; 129525770; 133878548; 129795338; 131134218; 131134228; 129523210; 130710814; 130008852; 129524254; 129553674; 130229002; 130008842; 131110154; 130824458; 131110174; 130261258; 130702110; 130702090; 131558154; 131558164; 133858058; 130311454; 129532446; 129546506; 130156298; 131089694; 130682122; 129528340; 129820958; 130710804; 131302686;
34880, 130019604; 131071754; 130133278; 131308830; 129703198; 130657566; 130657556; 131430666; 134263316; 134263326; 134263306; 130657546; 130133268; 130675466; 129703188; 130154250; 131561226; 130133258; 130526484; 131308820; 130526474; 131308810; 131106058;
38, 20891; 9532; 45491; 9528; 60293; 22598; 12567; 4997; 23275; 60291; 21643; 60292; 23276; 1905; 13691; 3939; 1627; 10348; 36750; 2857; 23269; 23035; 17791; 27319; 17793; 12566; 22602; 26563; 36742; 1209; 26561; 24582; 4467; 36383; 2856; 11585; 22604; 7110; 12565; 23034; 1628; 36381; 1342; 34700; 21644; 36741; 1343; 3937; 23266; 2858; 48162; 3354; 26562; 11587; 17792; 26048; 23277; 22601; 13650; 22599; 23270; 4468; 26296; 26047; 11586; 36743; 21642; 13689; 3938; 1904; 4985; 23036; 4996; 1629; 24581; 22603; 13692; 3350; 1341; 47980; 3349; 9529; 24583;
